Fujitsu	8117400A-60	4M x 4	FPM
Alliance	AS4C14400-60JC	1M x 4	FPM
NEC	D4218165G5 -60-7JF	1M x 16	EDO
LGS	GM71C17403BJ6	4M x 4	EDO
?	HY514400 J-70	1M x 4	FPM
Siemens	HYB5117800ASJ-70	2M x 8	FPM
Siemens	HYB514400AJ-70	1M x 4	FPM
?	KM41C4000BJ-6	4M x 1	FPM
Samsung	KM41C4000BJ-7	4M x 1	FPM
?	KM41C4000J-8	4M x 1	FPM
SEC	KM44C1000CJ-7	1M x 4	FPM
SEC	KM44C4100AK-6	4M x 4	FPM
SEC	KM44C4100BK-6	4M x 4	FPM
OKI	M514100A-70SJ	4M x 1	FPM
OKI	M514400A-70SJ	1M x 4	FPM
Micron	MT4LC4M4E8DJ -6	4M x 4	EDO
?	MT51C4400J-70	1M x 4	FPM
TI	TMS417400ADJ -60	4M x 4	FPM
TI	TMS418160DZ -60	1M x 16	FPM
Mitsubishi	M5M418160CJ -6	1M x 16	FPM
TI	TMS44400DJ -60	1M x 4	FPM
TI	TMS44400DJ -70	1M x 4	FPM
?	TMS45160DZ	256K x 16	FPM
TI	TMS626812ADGE -10	1M x 8 x 2 banks	SDRAM
?	VG2617405CJ -6	4M x 4	EDO
Vanguard	VG264400BJ -7	256K x 4 x 4	FPM
TI	Z44400DJ -70	1M x 4	FPM
Hyundai	HY514400A J-70	1M x 4	FPM
Hyundai	HY514400A LJ-60	1M x 4	FPM
Hyundai	HY531000AJ-70	1M x 1	FPM
Hyundai	HY531000ALJ-60	1M x 1	FPM
LGS	GM71C4400BJ70	1M x 4	FPM
LGS	GM71C1000BJ70	1M x 1	FPM
LGS	GM71C4400AJ70	1M x 4	FPM
LGS	GM71C1000J70	1M x 1	FPM
Hitachi	HM514400BS7	1M x 4	FPM
Hitachi	HM514400AS7	1M x 4	FPM
Hitachi	HM511000AJP7	1M x 1	FPM
Mitsubishi	M5M442256AJ -10	256K x 4	VRAM
Motorola	MCM54400AN80	1M x 4	FPM
Motorola	MCM54400AN70	1M x 4	FPM
Motorola	MCM54400AN60	1M x 4	FPM
Samsung	KM44C1000BJ-7	1M x 4	FPM
Samsung	KM44C1000BJ-8	1M x 4	FPM
Toshiba	TC514256AJ-80	256K x 4	FPM
SEC	KM44C4100AK-7	4M x 4	FPM
TMS	TMS4C1024DJ -70	1M x 1	FPM
TMS	TMS4C1024DJ -80	1M x 1	FPM
Siemens	HYB514400BJ-60	1M x 4	FPM
