	30 pin	Integrated Memory Systems Aust.	8 x OKI M514100A-70SJ	4?	Color Classic?	gold contacts
	30 pin	MSC23108-70DS2	2 x OKI M514400A-70SJ	1?	Quadra 950?	
	30 pin	BUSY BEE ROBOT / FUYU 20V0	8 x KM41C4000J-8	4?	Quadra 950?	gold contacts
	30 pin	?	2 x Hyundai HY514400A J-70, 1 x HY531000AJ-70	1?		gold contacts
	30 pin	?	2 x OKI M514400A-70SJ, 1 x OKI M511000A-70J	?		
	30 pin	IBM 1MB 1M X 9 P	2 x IBM9398, 1 x ?	?		
	30 pin	GoldStar E71042 9348 GS3	2 x GoldStar GM71C4400BJ70, 1 x GM71C1000BJ70	?		low profile
	30 pin	?	2 x GoldStar GM71C4400AJ70, 1 x GM71C1000J70	?		gold contacts, low profile
	30 pin	HB56G19B-7B	2 x Hitachi HM514400BS7, 1 x HM511000AJP7	?		low profile
	68 pin	Apple	4 x Mitsubishi M5M442256AJ -10	?	LCII	
	72 pin	Amicroe 8x32-60 2K	16 x Osaka Tech OS16D4045F2DJ-60	32	PowerMac 52x0/5300	
	72 pin	Motorola MCM32230SH70	16 x Motorola MCM54400AN70	8	PowerMac 6100/60 AV	
	72 pin	Apple 2MEG BY 32 DRAM SIMM	4 x Siemens HYB5117800ASJ-70	8	PowerMac 6100/60 AV	
	72 pin	TP11D1320BA-70 1M x32	8 x TF014400J2C-70	4	Quadra 610?	
	72 pin	?	8 x USA 4004 SOJ-6	16	Quadra 610?	
	72 pin	POWMEN	4 x TI TMS418160DZ -60	8	LC475?	
	72 pin	Amicroe 4x32-60 2K	8 x SEC KM44C4100AK-6	16		
	72 pin	Lite On	8 x LGS GM71C17403BJ6	16		
	72 pin	Ubig	32 x KM41C4000BJ-6	16	Quadra 800	probably composite
	72 pin	Amicore	16 x Vanguard VG264400BJ -7	8		gold contacts
	72 pin	?	16 x Alliance AS4C14400-60JC	8		
	72 pin	?	16 x SEC KM44C1000BJ-7	8		
	72 pin	HYUNDAI HYM532100AM-70	8 x HY514400 J-70	4		
	72 pin	?	8 x TI TMS44400DJ -70	4		gold contacts
	72 pin	TI TM124BBK32S-70	8 x TI TMS44400DJ -70	4		
	72 pin	?	16 x TI Z44400DJ -70	POST failed		gold contacts
	72 pin	? MMD 319 7662 / 105893	4 x TMS45160DZ	POST failed		gold contacts
	72 pin	Kingston KTH-VL4/16.CE	4 x NEC D4218165G5 -60-7JF	8		
	72 pin	Amicroe 4x32-60 2K	8 x Micron MT4LC4M4E8DJ -6	16	Quadra 650	
	72 pin	?	8 x MT51C4400J-70	4	Quadra 580	
	72 pin	Kingston KTA-Q850/16	8 x Toshiba TC5117400CSJ-60	16	Quadra 605	
	72 pin	Samsung KMM5321000BV-7	8 x KM44C1000BJ-7	4	LC475	
	72 pin	Kingston KTA-Q850/16	8 x SEC KM44C4100BK-6	16	Quadra 630	
	72 pin	Apple/Samsung KMM5322000CV-7	16 x SEC KM44C1000CJ-7	8	LCIII	
	72 pin	TI Z124BBK32 -60A	8 x TI TMS44400DJ -60	4	LCIII	gold contacts
	72 pin	?	8 x Siemens HYB514400AJ-70	4	LCIII	gold contacts, high profile
	72 pin	LG Semi GMM7328110	16 x LGS GM71C17403BJ6	32		
